last_name, first_name,player_id,year,meatball_swing_percent,meatball_percent,
Mills, Alec,621219,2022,63.2,6.3,
Alvarado, Jose,621237,2022,65.9,5,
Diaz, Edwin,621242,2022,77.8,6.8,
Berrios, Jose,621244,2022,74.4,6.5,
Garza Jr., Ralph,621248,2022,81.6,7.4,
Underwood Jr., Duane,621249,2022,75,6.8,
Wittgren, Nick,621295,2022,81.8,6.9,
Minter, A.J.,621345,2022,78.4,6.7,
Clay, Sam,621348,2022,83.3,6,
Poche, Colin,621363,2022,74.2,6.8,
Borucki, Ryan,621366,2022,92.9,6.7,
Hearn, Taylor,621368,2022,80.7,7.8,
Strahm, Matt,621381,2022,78.7,8,
Banks, Tanner,621383,2022,77.5,7.9,
Blach, Ty,621389,2022,76.1,6.8,
Castro, Anthony,621593,2022,85.7,8.1,
Young, Alex,622065,2022,96.2,5.8,
Wood, Alex,622072,2022,71.2,8.2,
Almonte, Yency,622075,2022,69.2,5.6,
Smith, Drew,622098,2022,83.9,7.2,
Sborz, Josh,622250,2022,84.2,4.5,
Staumont, Josh,622251,2022,83.6,9.2,
Tate, Dillon,622253,2022,74.7,8.4,
Castillo, Luis,622491,2022,79.5,8.6,
Crismatt, Nabil,622503,2022,75,6.8,
Dominguez, Seranthony,622554,2022,72.4,7,
Senzatela, Antonio,622608,2022,82.5,6.8,
Severino, Luis,622663,2022,79.7,7.3,
Hernandez, Elieser,622694,2022,81.6,9.4,
Tinoco, Jesus,622786,2022,87.5,4.6,
Sewald, Paul,623149,2022,83.3,8,
Flexen, Chris,623167,2022,79.7,6.5,
Brazoban, Huascar,623211,2022,73.5,5.4,
Hader, Josh,623352,2022,82.1,5.9,
Topa, Justin,623437,2022,90.9,8.8,
Stephens, Jackson,623451,2022,77,6.5,
Phillips, Evan,623465,2022,74.3,8,
Herget, Jimmy,623474,2022,71.3,9.4,
Goudeau, Ashton,623485,2022,80,5.3,
Suarez, Ranger,624133,2022,79.5,5.9,
Gordon, Nick,624503,2022,75,4.7,
Thompson, Keegan,624522,2022,71.4,7.5,
Lopez, Reynaldo,625643,2022,75,7.3,
Iglesias, Raisel,628452,2022,71,6.3,
Marte, Yunior,628708,2022,83.3,6.3,
Urias, Julio,628711,2022,74.9,8,
Chirinos, Yonny,630023,2022,66.7,6,
Crowe, Wil,640444,2022,72.4,5.5,
Finnegan, Kyle,640448,2022,79.8,8.9,
Harvey, Hunter,640451,2022,75.9,8.2,
Manaea, Sean,640455,2022,82.4,8.3,
Puk, A.J.,640462,2022,84.1,7.6,
Alzolay, Adbert,640470,2022,62.5,8.3,
Lopez, Pablo,641154,2022,83.5,6.3,
Alexander, Tyler,641302,2022,78.2,6.9,
Baker, Bryan,641329,2022,86.4,7.5,
Bickford, Phil,641360,2022,83.5,8.6,
Brentz, Jake,641394,2022,75,2.5,
Brogdon, Connor,641401,2022,76.9,5.5,
Castano, Daniel,641447,2022,78,7.1,
Cortes Jr., Nestor,641482,2022,75.8,6.5,
Danish, Tyler,641501,2022,61,6.2,
Dunning, Dane,641540,2022,63.6,6,
